Rank,Gender,Caste,College_Branch
118267,M,BC_D,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY - INF
118345,M,ST,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY - INF
119504,M,OC,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY - INF
121453,M,BC_A,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY - INF
121602,M,SC,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY - INF
133053,M,BC_C,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY - MEC
135444,F,ST,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY - CSM
136364,F,BC_A,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY - CSM
136500,M,BC_E,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY - MEC
138945,M,BC_B,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY - MEC
144040,M,ST,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY - MEC
148102,M,BC_A,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY - MEC
151511,M,SC,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY - MEC
151542,F,SC,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY - CSM
8582,F,SC,ADITYA ENGINEERING COLLEGE - AGR
10798,F,BC_A,ADITYA ENGINEERING COLLEGE - AGR
13679,F,OC,ADITYA ENGINEERING COLLEGE - AGR
14077,F,BC_B,ADITYA ENGINEERING COLLEGE - AGR
14213,F,BC_D,ADITYA ENGINEERING COLLEGE - AGR
22677,F,BC_E,ADITYA ENGINEERING COLLEGE - AIM
24626,M,ST,ADITYA ENGINEERING COLLEGE - ECE
26387,F,BC_A,ADITYA ENGINEERING COLLEGE - AIM
28847,F,SC,ADITYA ENGINEERING COLLEGE - AIM
30255,F,BC_B,ADITYA ENGINEERING COLLEGE - AIM
30664,F,BC_D,ADITYA ENGINEERING COLLEGE - AIM
30808,F,OC,ADITYA ENGINEERING COLLEGE - AIM
33602,F,BC_E,ADITYA ENGINEERING COLLEGE - CIV
34919,M,BC_C,ADITYA ENGINEERING COLLEGE - ECE
35504,F,SC,ADITYA ENGINEERING COLLEGE - CIV
35822,F,OC,ADITYA ENGINEERING COLLEGE - CIV
